Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
06.04.17;9.66;2.75;8.66;2.98;9.43;0.6;7.09;2.23;10.62;2.06;;;;
13.04.17;9.7;1.97;9.73;2.28;8.9;1.1;7.75;2.92;6.71;2.06;;;;
21.04.17;10.07;2.02;9.94;1.96;9.94;1.38;9.87;2.32;9.45;1.95;;;;
27.04.17;8.55;2.29;8.15;2.11;8.9;1.55;8.89;2.39;6.37;2.11;;;;
05.05.17;8.38;2.08;8.2;2.02;8.67;0.87;7.88;1.75;7.71;2.37;;;;
12.05.17;8.76;2.59;9.2;1.63;9.75;1.96;8.45;2.14;8.38;3.36;;;;
17.05.17;8.58;2.16;8.15;2.37;8.36;0.66;7;3.07;7.79;3.36;;;;
26.05.17;7.57;1.95;7.75;2.53;8;0.6;10.29;4.89;7.26;2.01;;;;
01.06.17;8.73;2.28;8.48;2.6;9.38;1.44;9.37;4.35;7.9;2.98;;;;
07.06.17;9.7;2.44;8.76;2.29;9.26;1.46;11.55;6.32;7.91;2.88;;;;
16.06.17;7.85;2.75;7.9;2.53;8.36;1.7;8.17;5.66;8.74;3.88;;;;
23.06.17;7.76;2.88;7.4;2.51;8.37;1.89;7.13;3.29;6.96;4.25;;;;
30.06.17;7.43;2.88;7.45;2.84;7.39;0.66;7.5;3.62;6.51;2.67;;;;
07.07.17;8.16;3.07;6.9;3.2;7.98;1.88;6.42;2.22;6.64;6.54;;;;
14.07.17;7.88;3.41;6.6;2.55;7.81;2.35;6.33;2.6;7.75;3.11;;;;
21.07.17;8.21;3.77;7.62;3.58;8.55;0.51;7.1;2;7.65;2.88;;;;
02.08.17;6.53;0.76;5.67;2.04;7.2;0.32;5.82;3.28;5.98;3.56;;;;
11.08.17;8.06;1.79;6.88;1.36;7.42;0.52;6.5;2.92;7.22;2.24;;;;
18.08.17;8.11;1.54;7.1;2.3;8.17;0.8;7.4;2.59;6.58;3.5;;;;
25.08.17;8.41;1.3;6.96;2.12;8.4;1.16;6.53;2.59;7.16;2.92;;;;
01.09.17;8.5;1.34;6.35;1.84;7.62;0.72;6.77;2.79;6.5;3.01;;;;
04.10.17;8.72;1.33;7.46;1.08;7.89;отр;4.13;1.42;5.48;2.12;;;;
17.10.17;8.8;2.57;8.34;2.08;8.52;1;5.06;1.77;6.95;3.68;;;;
24.10.17;9.73;1.89;9.22;1.22;8.18;0.81;5.06;1.44;5.28;2.42;;;;
01.11.17;8.29;1.88;7.87;1.35;8.22;1.41;3.65;1.27;5.42;2.91;;;;
08.11.17;10.18;1.93;9.54;2.7;7.82;0.9;5.4;1.18;5.22;3.11;;;;
15.11.17;9.99;2.35;9.3;2.17;8.73;1.25;7.86;2.74;5.85;2.9;;;;
22.11.17;9.52;1.74;9.96;2.24;8.28;1.18;6.31;2.5;7.41;4.75;;;;
30.11.17;9.79;2.14;8.28;1.4;8.83;1.53;4.6;2.03;4.75;2.05;;;;
07.12.17;9.06;1.98;7.93;1.25;8.24;0.84;4.52;2.12;3.41;1.36;;;;
14.12.17;7.57;1.2;7.89;1.01;8.45;1.2;6.1;3.81;3.96;1.92;;;;
22.12.17;8.77;1.92;6.1;0.86;8.64;1.21;4.33;2.02;4.48;2.18;;;;
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;2018 г.;;;;;;;
;;;;;;;;;;;;;;
